Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
maarten-wynants,2011.0,192.0,66.0,10363.0,0.0,0.0
maarten-wynants,2010.0,113.0,80.0,13147.0,0.0,0.0
maarten-wynants,2009.0,100.0,88.0,14595.0,0.0,0.0
maarten-wynants,2008.0,219.0,70.0,10646.0,0.0,1.0
maarten-wynants,2007.0,149.0,74.0,12157.0,0.0,3.0
maarten-wynants,2006.0,78.0,72.0,11629.0,0.0,1.0
maarten-wynants,2005.0,86.0,67.0,10244.0,0.0,1.0
maarten-wynants,2004.0,1.0,13.0,1738.0,0.0,1.0
maarten-wynants,2003.0,0.0,3.0,504.0,0.0,0.0
maarten-wynants,2002.0,0.0,1.0,175.0,0.0,0.0
nicolas-roche,2021.0,149.0,55.0,8643.0,0.0,3.0
nicolas-roche,2020.0,123.0,34.0,5337.0,0.0,2.0
nicolas-roche,2019.0,255.0,62.0,9068.0,0.0,1.0
nicolas-roche,2018.0,291.0,80.0,12787.0,0.0,0.0
nicolas-roche,2017.0,705.0,92.0,14158.0,0.0,3.0
nicolas-roche,2016.0,485.0,77.0,11805.0,2.0,6.0
nicolas-roche,2015.0,376.0,79.0,12423.0,1.0,3.0
nicolas-roche,2014.0,427.0,80.0,13146.0,2.0,3.0
nicolas-roche,2013.0,736.0,88.0,13630.0,1.0,3.0
nicolas-roche,2012.0,638.0,92.0,14584.0,0.0,2.0
nicolas-roche,2011.0,513.0,91.0,14330.0,1.0,1.0
nicolas-roche,2010.0,985.0,91.0,14584.0,0.0,6.0
nicolas-roche,2009.0,488.0,92.0,14610.0,1.0,3.0
nicolas-roche,2008.0,456.0,68.0,10817.0,2.0,6.0
nicolas-roche,2007.0,156.0,69.0,10573.0,1.0,1.0
nicolas-roche,2006.0,124.0,58.0,9027.0,1.0,1.0
nicolas-roche,2005.0,66.0,44.0,6879.0,0.0,0.0
nicolas-roche,2004.0,37.0,22.0,2899.0,0.0,3.0
nicolas-roche,2003.0,0.0,3.0,366.0,0.0,0.0
nicolas-roche,2002.0,0.0,2.0,151.0,0.0,0.0
nicolas-roche,2001.0,0.0,1.0,121.0,0.0,0.0
eloy-teruel,2021.0,0.0,2.0,124.0,0.0,0.0
eloy-teruel,2020.0,0.0,1.0,45.0,0.0,0.0
eloy-teruel,2019.0,0.0,2.0,234.0,0.0,0.0
eloy-teruel,2018.0,0.0,4.0,402.0,0.0,0.0
eloy-teruel,2017.0,0.0,19.0,2419.0,0.0,0.0
eloy-teruel,2016.0,0.0,22.0,2787.0,0.0,0.0
eloy-teruel,2015.0,0.0,4.0,616.0,0.0,0.0
eloy-teruel,2014.0,7.0,25.0,3061.0,0.0,0.0
eloy-teruel,2013.0,6.0,48.0,6487.0,0.0,0.0
eloy-teruel,2012.0,0.0,2.0,210.0,0.0,0.0
eloy-teruel,2011.0,2.0,6.0,741.0,0.0,0.0
eloy-teruel,2010.0,0.0,2.0,290.0,0.0,0.0
eloy-teruel,2009.0,19.0,44.0,6303.0,0.0,1.0
eloy-teruel,2008.0,18.0,40.0,5638.0,0.0,0.0
eloy-teruel,2007.0,23.0,35.0,4849.0,0.0,0.0
eloy-teruel,2006.0,0.0,12.0,1781.0,0.0,0.0
eloy-teruel,2005.0,10.0,11.0,1455.0,0.0,1.0
eloy-teruel,2004.0,0.0,1.0,12.0,0.0,0.0
matteo-trentin,2022.0,264.0,27.0,4884.0,1.0,2.0
matteo-trentin,2021.0,923.0,73.0,12364.0,1.0,9.0
matteo-trentin,2020.0,404.0,51.0,8701.0,0.0,2.0
matteo-trentin,2019.0,1605.0,80.0,13036.0,6.0,22.0
matteo-trentin,2018.0,593.0,70.0,11152.0,2.0,3.0
