year,race_id,winner_id,category
2014,liege-bastogne-liege,simon-gerrans,1.UWT
2014,tour-de-romandie,christopher-froome,2.UWT
2014,giro-d-italia,nairo-quintana,2.UWT
2014,dauphine,andrew-talansky,2.UWT
2014,tour-de-suisse,rui-costa,2.UWT
2014,tour-de-france,vincenzo-nibali,2.UWT
2014,san-sebastian,alejandro-valverde,1.UWT
2014,tour-de-pologne,rafal-majka,2.UWT
2014,benelux-tour,tim-wellens,2.UWT
2014,vuelta-a-espana,alberto-contador,2.UWT
2014,cyclassics-hamburg,alexander-kristoff,1.UWT
2014,bretagne-classic,sylvain-chavanel,1.UWT
2014,gp-quebec,simon-gerrans,1.UWT
2014,gp-montreal,simon-gerrans,1.UWT
2014,il-lombardia,dan-martin,1.UWT
2014,tour-of-beijing,philippe-gilbert,2.UWT
2013,tour-down-under,tom-jelte-slagter,WT
2013,paris-nice,richie-porte,2.UWT
2013,tirreno-adriatico,vincenzo-nibali,WT
2013,milano-sanremo,gerald-ciolek,WT
2013,volta-a-catalunya,dan-martin,WT
2013,e3-harelbeke,fabian-cancellara,WT
2013,gent-wevelgem,peter-sagan,WT
2013,ronde-van-vlaanderen,fabian-cancellara,WT
2013,itzulia-basque-country,nairo-quintana,2.UWT
2013,paris-roubaix,fabian-cancellara,WT
2013,amstel-gold-race,roman-kreuziger,WT
2013,la-fleche-wallone,daniel-moreno,WT
2013,liege-bastogne-liege,dan-martin,WT
2013,tour-de-romandie,christopher-froome,WT
2013,giro-d-italia,vincenzo-nibali,WT
2013,dauphine,christopher-froome,WT
2013,tour-de-suisse,rui-costa,WT
2013,tour-de-france,christopher-froome,WT
2013,san-sebastian,tony-gallopin,WT
2013,tour-de-pologne,pieter-weening,WT
2013,benelux-tour,zdenek-stybar,2.UWT
2013,vuelta-a-espana,chris-horner,WT
2013,cyclassics-hamburg,john-degenkolb,WT
2013,bretagne-classic,filippo-pozzato,WT
2013,gp-quebec,robert-gesink,WT
2013,gp-montreal,peter-sagan,WT
2013,il-lombardia,joaquim-rodriguez,WT
2013,tour-of-beijing,benat-intxausti,WT
2012,tour-down-under,simon-gerrans,WT
2012,paris-nice,bradley-wiggins,2.UWT
2012,tirreno-adriatico,vincenzo-nibali,WT
2012,milano-sanremo,simon-gerrans,WT
2012,volta-a-catalunya,michael-albasini,WT
2012,e3-harelbeke,tom-boonen,WT
2012,gent-wevelgem,tom-boonen,WT
2012,ronde-van-vlaanderen,tom-boonen,WT
2012,itzulia-basque-country,samuel-sanchez,2.UWT
2012,paris-roubaix,tom-boonen,WT
2012,amstel-gold-race,enrico-gasparotto,WT
2012,la-fleche-wallone,joaquim-rodriguez,WT
2012,liege-bastogne-liege,maxim-iglinskiy,WT
2012,tour-de-romandie,bradley-wiggins,WT
2012,giro-d-italia,ryder-hesjedal,WT
2012,dauphine,bradley-wiggins,WT
2012,tour-de-suisse,rui-costa,WT
2012,tour-de-france,bradley-wiggins,WT
2012,tour-de-pologne,moreno-moser,WT
2012,benelux-tour,lars-boom,2.UWT
2012,san-sebastian,luis-leon-sanchez,WT
2012,vuelta-a-espana,alberto-contador,WT
2012,cyclassics-hamburg,arnaud-demare,WT
2012,bretagne-classic,edvald-boasson-hagen,WT
2012,gp-quebec,simon-gerrans,WT
2012,gp-montreal,lars-petter-nordhaug,WT
2012,il-lombardia,joaquim-rodriguez,WT
2012,tour-of-beijing,tony-martin,WT
