Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Ludovic  Robeet, 1.94 m, 75 kg   ,Belgium,6Climber,42GC,9Time trial,198Sprint,214One day races
Chad  Beyer, 1.78 m, 63 kg   ,United States,82Climber,124GC,1Time trial,214Sprint,52One day races
Sander  Armée, 1.89 m, 72 kg   ,Belgium,495Climber,974GC,24Time trial,434Sprint,277One day races
Otto  Vergaerde, 1.80 m, 74 kg   ,Belgium,36Climber,57GC,12Time trial,90Sprint,143One day races
Daniel  Sesma, 1.72 m, 70 kg   ,Spain,0Climber,62GC,30Time trial,16Sprint,15One day races
Bram  Welten, 1.88 m, 81 kg   ,Netherlands,21Climber,65GC,0Time trial,949Sprint,852One day races
Jan  Polanc, 1.72 m, 62 kg   ,Slovenia,1500Climber,1371GC,396Time trial,280Sprint,751One day races
Patrick  Gamper, 1.92 m, 81 kg   ,Austria,8Climber,20GC,112Time trial,96Sprint,102One day races
Jaco  Venter, 1.89 m, 70 kg   ,South Africa,90Climber,355GC,232Time trial,232Sprint,145One day races
Markel  Irizar, 1.82 m, 73 kg   ,Spain,134Climber,832GC,922Time trial,37Sprint,246One day races
Javier  Aramendia, 1.87 m, 72 kg   ,Spain,17Climber,152GC,1Time trial,82Sprint,94One day races
Gert  Dockx, 1.75 m, 64 kg   ,Belgium,60Climber,269GC,5Time trial,227Sprint,180One day races
David  Boily, 1.80 m, 60 kg   ,Canada,10Climber,28GC,22Time trial,70Sprint,13One day races
Dmitry  Strakhov, 1.85 m, 70 kg   ,Russia,132Climber,361GC,44Time trial,289Sprint,185One day races
Simon  Špilak, 1.76 m, 68 kg   ,Slovenia,1888Climber,4166GC,1379Time trial,368Sprint,685One day races
Floris De Tier, 1.72 m, 60 kg   ,Belgium,510Climber,345GC,0Time trial,122Sprint,322One day races
Karsten  Kroon, 1.80 m, 67 kg   ,Netherlands,834Climber,661GC,164Time trial,1537Sprint,2902One day races
Laurenz  Rex, 1.93 m, 82 kg   ,Belgium,29Climber,5GC,0Time trial,56Sprint,75One day races
Dries Van Gestel, 1.87 m, 71 kg   ,Belgium,72Climber,189GC,2Time trial,468Sprint,665One day races
Kanstantsin  Siutsou, 1.83 m, 68 kg   ,Belarus,1518Climber,1983GC,777Time trial,395Sprint,969One day races
Mathieu  Perget, 1.76 m, 64 kg   ,France,188Climber,616GC,55Time trial,176Sprint,77One day races
Francesco  Gavazzi, 1.73 m, 65 kg   ,Italy,2540Climber,1318GC,43Time trial,2346Sprint,2977One day races
Christophe  Laporte, 1.89 m, 76 kg   ,France,592Climber,580GC,775Time trial,2294Sprint,1905One day races
Ermano  Capelli, 1.95 m, 78 kg   ,Italy,2Climber,56GC,2Time trial,96Sprint,132One day races
Evan  Oliphant, 1.78 m, 66 kg   ,Great Britain,15Climber,31GC,22Time trial,247Sprint,7One day races
Thymen  Arensman, 1.90 m, 68 kg   ,Netherlands,243Climber,302GC,269Time trial,18Sprint,27One day races
Jonas  Rickaert, 1.87 m, 88 kg   ,Belgium,32Climber,153GC,116Time trial,677Sprint,689One day races
Alan  Riou, 1.76 m, 68 kg   ,France,56Climber,10GC,57Time trial,134Sprint,177One day races
David  Boucher, 1.88 m, 78 kg   ,Belgium,2Climber,211GC,542Time trial,568Sprint,356One day races
Giulio  Ciccone, 1.76 m, 58 kg   ,Italy,1977Climber,716GC,80Time trial,115Sprint,894One day races
Mathieu  Drouilly, 1.78 m, 62 kg   ,France,0Climber,0GC,0Time trial,0Sprint,0One day races
Mathias  Frank, 1.76 m, 64 kg   ,Switzerland,2510Climber,2877GC,604Time trial,316Sprint,702One day races
Brett  Lancaster, 1.88 m, 78 kg   ,Australia,80Climber,410GC,1216Time trial,794Sprint,222One day races
Mikhail  Ignatiev, 1.76 m, 67 kg   ,Russia,178Climber,633GC,1234Time trial,424Sprint,253One day races
Andreas  Schillinger, 1.88 m, 72 kg   ,Germany,59Climber,283GC,37Time trial,784Sprint,521One day races
Jimmy  Duquennoy,NaN,NaN,NaN,0Climber,5GC,0Time trial,99Sprint,64One day races
Grégory  Rast, 1.86 m, 80 kg   ,Switzerland,155Climber,919GC,394Time trial,1182Sprint,1755One day races
Fredrik Strand  Galta, 1.92 m, 78 kg   ,Norway,65Climber,109GC,2Time trial,187Sprint,37One day races
Alexis  Gougeard, 1.76 m, 70 kg   ,France,278Climber,590GC,554Time trial,518Sprint,545One day races
Mauro Da Dalto, 1.81 m, 72 kg   ,Italy,7Climber,217GC,92Time trial,261Sprint,142One day races
Guillaume  Bonnafond, 1.84 m, 68 kg   ,France,113Climber,468GC,2Time trial,188Sprint,154One day races
Sébastien  Hinault, 1.75 m, 63 kg   ,France,772Climber,931GC,28Time trial,3326Sprint,1534One day races
Jonas  Rutsch, 1.97 m, 82 kg   ,Germany,51Climber,152GC,97Time trial,64Sprint,127One day races
Taylor  Phinney, 1.97 m, 82 kg   ,United States,38Climber,566GC,2450Time trial,924Sprint,709One day races
Jean-Luc  Delpech, 1.78 m, 72 kg   ,France,91Climber,129GC,88Time trial,1514Sprint,695One day races
Meron  Russom,NaN,NaN,Eritrea,46Climber,139GC,80Time trial,165Sprint,100One day races
Mattia  Frapporti, 1.82 m, 74 kg   ,Italy,20Climber,41GC,34Time trial,136Sprint,66One day races
Antoine  Duchesne, 1.90 m, 75 kg   ,Canada,36Climber,246GC,20Time trial,184Sprint,311One day races
Steven  Lammertink, 1.76 m, 68 kg   ,Netherlands,0Climber,49GC,260Time trial,126Sprint,24One day races
Domenico  Quagliarello,NaN,NaN,Italy,19Climber,31GC,0Time trial,130Sprint,54One day races
Eduard  Vorganov, 1.77 m, 65 kg   ,Russia,658Climber,1132GC,86Time trial,1026Sprint,533One day races
Peter  Kennaugh, 1.73 m, 66 kg   ,Great Britain,540Climber,867GC,101Time trial,390Sprint,579One day races
Calvin  Watson, 1.92 m, 72 kg   ,Australia,3Climber,63GC,0Time trial,28Sprint,25One day races
Andy  Schleck, 1.86 m, 68 kg   ,Luxembourg,2990Climber,2639GC,403Time trial,424Sprint,1486One day races
Warren  Barguil, 1.82 m, 61 kg   ,France,3705Climber,2615GC,106Time trial,362Sprint,1813One day races
Alessandro  Fantini, 1.83 m, 68 kg   ,Italy,3Climber,0GC,0Time trial,24Sprint,12One day races
Thomas  Rohregger, 1.76 m, 63 kg   ,Austria,483Climber,795GC,96Time trial,222Sprint,146One day races
Romain  Feillu, 1.74 m, 62 kg   ,France,412Climber,504GC,252Time trial,5172Sprint,3115One day races
Beñat  Albizuri, 1.73 m, 69 kg   ,Spain,23Climber,40GC,0Time trial,84Sprint,117One day races
Jhonatan  Narváez, 1.74 m, 65 kg   ,Ecuador,462Climber,427GC,23Time trial,264Sprint,441One day races
Edoardo  Zardini, 1.73 m, 62 kg   ,Italy,445Climber,521GC,48Time trial,114Sprint,319One day races
Tomas Aurelio  Gil Martinez, 1.65 m, 60 kg   ,Venezuela,63Climber,115GC,482Time trial,236Sprint,67One day races
Danilo Di Luca, 1.68 m, 61 kg   ,Italy,4520Climber,2954GC,786Time trial,2854Sprint,5894One day races
Quentin  Pacher, 1.79 m, 62 kg   ,France,792Climber,757GC,82Time trial,583Sprint,531One day races
Leigh  Howard, 1.79 m, 72 kg   ,Australia,36Climber,243GC,185Time trial,1596Sprint,597One day races
Giuseppe De Maria,NaN,NaN,Italy,2Climber,12GC,0Time trial,282Sprint,158One day races
Norman  Vahtra, 1.92 m, 83 kg   ,Estonia,18Climber,102GC,110Time trial,460Sprint,124One day races
Tobias  Ludvigsson, 1.94 m, 76 kg   ,Sweden,320Climber,868GC,1859Time trial,138Sprint,147One day races
Iker  Camaño, 1.84 m, 68 kg   ,Spain,120Climber,611GC,420Time trial,467Sprint,242One day races
Elia  Favilli, 1.72 m, 61 kg   ,Italy,274Climber,190GC,30Time trial,408Sprint,368One day races
Yukiya  Arashiro, 1.70 m, 64 kg   ,Japan,556Climber,1172GC,122Time trial,1178Sprint,1289One day races
Giovanni  Bernaudeau, 1.75 m, 62 kg   ,France,28Climber,221GC,23Time trial,424Sprint,54One day races
Darwin  Atapuma, 1.68 m, 59 kg   ,Colombia,1576Climber,1414GC,28Time trial,175Sprint,179One day races
Emanuele  Bindi,NaN,NaN,Italy,6Climber,67GC,9Time trial,172Sprint,37One day races
Robbe  Ghys, 1.82 m, 72 kg   ,Belgium,0Climber,19GC,2Time trial,235Sprint,63One day races
Franck  Renier, 1.83 m, 69 kg   ,France,230Climber,365GC,5Time trial,884Sprint,939One day races
André  Korff,NaN,NaN,Germany,49Climber,137GC,55Time trial,1152Sprint,436One day races
Jaime  Castrillo, 1.86 m, 65 kg   ,Spain,10Climber,65GC,28Time trial,28Sprint,76One day races
Truls Engen  Korsæth, 1.86 m, 84 kg   ,Norway,14Climber,20GC,112Time trial,75Sprint,123One day races
Fabrizio  Guidi, 1.87 m, 73 kg   ,Italy,560Climber,1308GC,301Time trial,6528Sprint,2177One day races
Stefano  Usai,NaN,NaN,Italy,16Climber,25GC,8Time trial,104Sprint,14One day races
Stefano  Boggia,NaN,NaN,Italy,30Climber,36GC,42Time trial,151Sprint,69One day races
Albert  Torres, 1.80 m, 70 kg   ,Spain,51Climber,80GC,70Time trial,424Sprint,154One day races
Xabier  Zandio, 1.84 m, 73 kg   ,Spain,562Climber,816GC,68Time trial,182Sprint,216One day races
Stéphane  Poulhiès, 1.85 m, 75 kg   ,France,44Climber,165GC,13Time trial,1296Sprint,370One day races
Alexei  Markov, 1.81 m, 80 kg   ,Russia,22Climber,349GC,530Time trial,1825Sprint,358One day races
Edwig  Cammaerts, 1.83 m, 74 kg   ,Belgium,1Climber,72GC,0Time trial,328Sprint,201One day races
Sergey  Lagutin, 1.81 m, 68 kg   ,Russia,1051Climber,1409GC,105Time trial,1976Sprint,1624One day races
Marco  Benfatto, 1.81 m, 71 kg   ,Italy,18Climber,121GC,12Time trial,2591Sprint,141One day races
Jonathan  Paredes, 1.75 m, 63 kg   ,Colombia,6Climber,0GC,20Time trial,80Sprint,135One day races
Ricardo  García, 1.83 m, 68 kg   ,Spain,115Climber,138GC,37Time trial,341Sprint,107One day races
Paolo  Bossoni, 1.73 m, 62 kg   ,Italy,271Climber,329GC,5Time trial,1959Sprint,1444One day races
Patrick  Keller,NaN,NaN,Germany,0Climber,0GC,0Time trial,14Sprint,0One day races
Daniel  Schorn, 1.83 m, 72 kg   ,Austria,112Climber,103GC,39Time trial,1038Sprint,384One day races
Erki  Pütsep, 1.79 m, 69 kg   ,Estonia,16Climber,105GC,36Time trial,1569Sprint,1077One day races
Nacer  Bouhanni, 1.75 m, 65 kg   ,France,1376Climber,464GC,51Time trial,8340Sprint,4403One day races
Jakob  Fuglsang, 1.81 m, 65 kg   ,Denmark,6586Climber,6352GC,1635Time trial,782Sprint,3323One day races
Giorgio  Cecchinel, 1.76 m, 69 kg   ,Italy,3Climber,37GC,6Time trial,38Sprint,17One day races
Maxime  Farazijn, 1.83 m, 73.5 kg   ,Belgium,6Climber,17GC,8Time trial,176Sprint,101One day races
Anthony  Ravard, 1.69 m, 62 kg   ,France,44Climber,129GC,8Time trial,1881Sprint,1026One day races
Fabio Van Den Bossche, 1.76 m, 63 kg   ,Belgium,35Climber,82GC,5Time trial,20Sprint,40One day races
Mark  Cavendish, 1.75 m, 70 kg   ,Great Britain,1154Climber,1377GC,708Time trial,12782Sprint,2888One day races
Bernhard  Eisel, 1.83 m, 74 kg   ,Austria,544Climber,1126GC,260Time trial,3232Sprint,2277One day races
Simon  Guglielmi, 1.80 m, 66 kg   ,France,115Climber,80GC,3Time trial,60Sprint,66One day races
Fabio  Mazzucco, 1.83 m, 69 kg   ,Italy,14Climber,45GC,8Time trial,110Sprint,31One day races
Giosuè  Bonomi,NaN,NaN,Italy,68Climber,55GC,0Time trial,1041Sprint,356One day races
Luca  Pacioni, 1.75 m, 67 kg   ,Italy,48Climber,53GC,98Time trial,1245Sprint,108One day races
Diego Pablo  Sevilla, 1.71 m, 64 kg   ,Spain,5Climber,11GC,7Time trial,24Sprint,20One day races
Saïd  Haddou, 1.90 m, 80 kg   ,France,27Climber,78GC,17Time trial,1189Sprint,670One day races
Arthur  Vichot, 1.84 m, 74 kg   ,France,1233Climber,1246GC,215Time trial,993Sprint,1729One day races
Fabien  Doubey, 1.74 m, 62 kg   ,France,184Climber,275GC,4Time trial,50Sprint,104One day races
Andrea di Corrado,NaN,NaN,Italy,59Climber,50GC,0Time trial,39Sprint,0One day races
Thomas  Pidcock, 1.70 m, 58 kg   ,Great Britain,396Climber,100GC,10Time trial,90Sprint,763One day races
Sean De Bie, 1.73 m, 65 kg   ,Belgium,186Climber,377GC,395Time trial,1062Sprint,938One day races
Daniel  McLay, 1.85 m, 72 kg   ,Great Britain,90Climber,190GC,100Time trial,2193Sprint,974One day races
Andre  Carvalho, 1.81 m, 66 kg   ,Portugal,2Climber,3GC,0Time trial,38Sprint,76One day races
Jempy  Drucker, 1.82 m, 75 kg   ,Luxembourg,230Climber,634GC,623Time trial,3306Sprint,2344One day races
Arnoud van Groen, 1.83 m, 69 kg   ,Netherlands,27Climber,84GC,20Time trial,308Sprint,275One day races
Maxim  Iglinskiy, 1.71 m, 67 kg   ,Kazakhstan,1064Climber,867GC,201Time trial,1104Sprint,1654One day races
Yuriy  Krivtsov, 1.78 m, 72 kg   ,Ukraine,282Climber,586GC,1055Time trial,626Sprint,269One day races
Simon  Zahner, 1.81 m, 73 kg   ,Switzerland,14Climber,97GC,112Time trial,187Sprint,90One day races
Sjef de Wilde, 1.89 m, 74 kg   ,Belgium,12Climber,5GC,1Time trial,530Sprint,290One day races
Jordi  Warlop, 1.83 m, 73 kg   ,Belgium,71Climber,19GC,0Time trial,408Sprint,375One day races
Carlo  Westphal, 1.81 m, 75 kg   ,Germany,0Climber,34GC,30Time trial,104Sprint,48One day races
Ivan  Rovny, 1.73 m, 62 kg   ,Russia,454Climber,516GC,119Time trial,351Sprint,580One day races
Kasper  Klostergaard, 1.82 m, 69 kg   ,Denmark,15Climber,225GC,5Time trial,128Sprint,166One day races
Ivar  Slik, 1.87 m, 71 kg   ,Netherlands,7Climber,52GC,151Time trial,394Sprint,114One day races
Arkaitz  Durán, 1.85 m, 70 kg   ,Spain,130Climber,229GC,113Time trial,166Sprint,143One day races
Matej  Mohorič, 1.85 m, 72 kg   ,Slovenia,2000Climber,1403GC,241Time trial,588Sprint,1887One day races
Leonardo  Moser,NaN,NaN,Italy,70Climber,51GC,0Time trial,67Sprint,107One day races
Matthieu  Sprick, 1.81 m, 71 kg   ,France,41Climber,540GC,161Time trial,379Sprint,362One day races
Marcus  Burghardt, 1.89 m, 75 kg   ,Germany,338Climber,722GC,180Time trial,974Sprint,1632One day races
André  Greipel, 1.84 m, 80 kg   ,Germany,1592Climber,1927GC,530Time trial,14495Sprint,4646One day races
Fabio  Taborre,NaN,NaN,NaN,324Climber,81GC,8Time trial,561Sprint,760One day races
Vojtěch  Dlouhý,NaN,NaN,Czech Republic,0Climber,0GC,6Time trial,34Sprint,4One day races
Thomas  Löfkvist, 1.86 m, 70 kg   ,Sweden,1148Climber,2535GC,1410Time trial,678Sprint,1083One day races
Omar  Lombardi,NaN,NaN,Italy,0Climber,55GC,7Time trial,121Sprint,2One day races
Patrik  Sinkewitz, 1.73 m, 63 kg   ,Germany,1017Climber,1518GC,717Time trial,857Sprint,1569One day races
Kevin  Peeters, 1.69 m, 67 kg   ,Belgium,0Climber,12GC,0Time trial,854Sprint,311One day races
Mikhaylo  Khalilov,NaN,NaN,Ukraine,381Climber,312GC,43Time trial,2450Sprint,1598One day races
Fuyu  Li,NaN,NaN,China,12Climber,60GC,88Time trial,276Sprint,19One day races
Cristian  Benenati, 1.75 m, 63 kg   ,Italy,0Climber,0GC,0Time trial,188Sprint,6One day races
Daniele  Bennati, 1.83 m, 71 kg   ,Italy,2244Climber,1090GC,1095Time trial,6404Sprint,3119One day races
Thor  Hushovd, 1.83 m, 83 kg   ,Norway,2686Climber,1113GC,2032Time trial,8553Sprint,4262One day races
Sindre  Lunke, 1.83 m, 69 kg   ,Norway,60Climber,203GC,1Time trial,58Sprint,52One day races
Jason  Donald,NaN,NaN,United States,6Climber,9GC,101Time trial,53Sprint,5One day races
Raffaello  Bonusi,NaN,NaN,Italy,15Climber,119GC,31Time trial,124Sprint,15One day races
Jérémy  Roy, 1.86 m, 70 kg   ,France,558Climber,1233GC,1346Time trial,514Sprint,533One day races
Sylwester  Janiszewski, 1.65 m, 65 kg   ,Poland,4Climber,96GC,62Time trial,1301Sprint,172One day races
Victor  Campenaerts, 1.73 m, 68 kg   ,Belgium,318Climber,770GC,3000Time trial,277Sprint,344One day races
Twan  Castelijns, 1.80 m, 70 kg   ,Netherlands,10Climber,49GC,47Time trial,206Sprint,250One day races
Michiel  Elijzen, 1.92 m, 80 kg   ,Netherlands,10Climber,131GC,617Time trial,122Sprint,67One day races
Cameron  Jennings,NaN,NaN,Australia,20Climber,15GC,12Time trial,118Sprint,7One day races
Jean-Charles  Senac, 1.76 m, 63 kg   ,France,20Climber,100GC,1Time trial,22Sprint,39One day races
Kobe  Goossens, 1.78 m, 64 kg   ,Belgium,128Climber,166GC,23Time trial,100Sprint,117One day races
Aidis  Kruopis, 1.84 m, 80 kg   ,Lithuania,0Climber,214GC,5Time trial,2388Sprint,787One day races
Nicolas  Rousseau, 1.76 m, 70 kg   ,France,19Climber,148GC,95Time trial,282Sprint,111One day races
Troels Rønning  Vinther, 1.82 m, 68 kg   ,Denmark,68Climber,232GC,49Time trial,594Sprint,227One day races
Kevin De Mesmaeker, 1.76 m, 68 kg   ,Belgium,0Climber,0GC,0Time trial,38Sprint,10One day races
Nils  Politt, 1.92 m, 80 kg   ,Germany,590Climber,804GC,930Time trial,542Sprint,1154One day races
Michael  Mørkøv, 1.83 m, 71 kg   ,Denmark,312Climber,918GC,293Time trial,1474Sprint,1138One day races
Zak  Dempster, 1.90 m, 77 kg   ,Australia,44Climber,183GC,99Time trial,962Sprint,554One day races
Björn  Leukemans, 1.77 m, 67 kg   ,Belgium,838Climber,954GC,9Time trial,3138Sprint,4051One day races
Rui  Costa, 1.83 m, 69 kg   ,Portugal,6038Climber,5922GC,1563Time trial,702Sprint,3626One day races
Francisco  Pérez, 1.89 m, 76 kg   ,Spain,516Climber,866GC,474Time trial,415Sprint,174One day races
Anthony  Turgis, 1.78 m, 70 kg   ,France,528Climber,657GC,182Time trial,849Sprint,1695One day races
Markus  Fothen, 1.79 m, 71 kg   ,Germany,384Climber,1276GC,1314Time trial,642Sprint,162One day races
Nikolay  Mihaylov, 1.83 m, 70 kg   ,Bulgaria,82Climber,363GC,393Time trial,144Sprint,86One day races
Maarten den Bakker, 1.81 m, 71 kg   ,Netherlands,753Climber,1389GC,389Time trial,1753Sprint,3125One day races
Rubens  Bertogliati, 1.80 m, 73 kg   ,Switzerland,402Climber,577GC,1191Time trial,217Sprint,351One day races
Gilles De Wilde, 1.83 m, 75 kg   ,Belgium,2Climber,0GC,10Time trial,1Sprint,15One day races
Sean  Bennett, 1.78 m, 66 kg   ,United States,140Climber,106GC,32Time trial,122Sprint,94One day races
Kyle  Wamsley,NaN,NaN,United States,0Climber,0GC,0Time trial,143Sprint,28One day races
Davide  Ballerini, 1.83 m, 77 kg   ,Italy,520Climber,140GC,113Time trial,1125Sprint,1058One day races
Steve  Houanard, 1.83 m, 70 kg   ,France,17Climber,84GC,1Time trial,215Sprint,51One day races
Mekseb  Debesay, 1.82 m, 64 kg   ,Eritrea,246Climber,336GC,266Time trial,984Sprint,221One day races
Adrian  Honkisz, 1.76 m, 61 kg   ,Poland,29Climber,174GC,26Time trial,466Sprint,123One day races
Alessandro  Proni, 1.83 m, 68 kg   ,Italy,107Climber,166GC,37Time trial,398Sprint,375One day races
Jean-Marc  Bideau, 1.92 m, 73 kg   ,France,47Climber,93GC,2Time trial,481Sprint,315One day races
Bert  Grabsch, 1.79 m, 78 kg   ,Germany,282Climber,1058GC,4225Time trial,798Sprint,613One day races
Dominik  Roels, 1.85 m, 75 kg   ,Germany,71Climber,112GC,129Time trial,68Sprint,28One day races
Charles  Planet, 1.79 m, 71 kg   ,France,41Climber,100GC,118Time trial,96Sprint,74One day races
Markus  Eichler, 1.85 m, 78 kg   ,Germany,13Climber,201GC,246Time trial,724Sprint,503One day races
Milan  Menten, 1.74 m, 68 kg   ,Belgium,154Climber,149GC,17Time trial,705Sprint,477One day races
Aart  Vierhouten, 1.83 m, 71 kg   ,Netherlands,224Climber,313GC,12Time trial,3302Sprint,2674One day races
Benjamin  Verraes, 1.83 m, 73 kg   ,Belgium,1Climber,48GC,43Time trial,436Sprint,168One day races
Lance  Armstrong, 1.78 m, 72 kg   ,United States,1968Climber,4035GC,4093Time trial,2656Sprint,3762One day races
Chris  Sutton, 1.76 m, 67 kg   ,Australia,62Climber,510GC,96Time trial,1956Sprint,673One day races
Fumiyuki  Beppu, 1.80 m, 69 kg   ,Japan,75Climber,323GC,222Time trial,580Sprint,702One day races
Aurélien  Clerc, 1.76 m, 71 kg   ,Switzerland,172Climber,217GC,6Time trial,2577Sprint,916One day races
Arnaud  Labbé, 1.83 m, 73 kg   ,France,36Climber,185GC,25Time trial,290Sprint,187One day races
Pieter  Weening, 1.86 m, 68 kg   ,Netherlands,1526Climber,2777GC,403Time trial,568Sprint,806One day races
Francesco  Rivera,NaN,NaN,Italy,12Climber,0GC,83Time trial,99Sprint,31One day races
Christian  Meier, 1.72 m, 61 kg   ,Canada,192Climber,389GC,203Time trial,195Sprint,216One day races
Ronny  Scholz, 1.76 m, 60 kg   ,Germany,28Climber,845GC,411Time trial,309Sprint,181One day races
Martijn  Tusveld, 1.87 m, 70 kg   ,Netherlands,215Climber,446GC,279Time trial,148Sprint,111One day races
Christophe  Noppe, 1.76 m, 73 kg   ,Belgium,20Climber,13GC,54Time trial,816Sprint,654One day races
Simone  Stortoni, 1.69 m, 59 kg   ,Italy,272Climber,333GC,30Time trial,314Sprint,294One day races
Patrick  Konrad, 1.80 m, 65 kg   ,Austria,2956Climber,2034GC,431Time trial,256Sprint,1018One day races
Paolo  Tiralongo, 1.78 m, 63 kg   ,Italy,1910Climber,1607GC,114Time trial,443Sprint,688One day races
Bert Van Lerberghe, 1.90 m, 83 kg   ,Belgium,33Climber,78GC,48Time trial,1302Sprint,1062One day races
Pello  Bilbao, 1.74 m, 60 kg   ,Spain,3365Climber,2591GC,753Time trial,545Sprint,831One day races
Dayer  Quintana, 1.67 m, 58 kg   ,Colombia,320Climber,424GC,0Time trial,48Sprint,114One day races
Pieter  Ghyllebert,NaN,NaN,Belgium,32Climber,96GC,2Time trial,574Sprint,163One day races
Félix Rafael  Cárdenas, 1.67 m, 59 kg   ,Colombia,1310Climber,1109GC,444Time trial,1358Sprint,684One day races
Iljo  Keisse, 1.83 m, 72 kg   ,Belgium,42Climber,335GC,101Time trial,1076Sprint,704One day races
Arnaud  Démare, 1.82 m, 76 kg   ,France,1256Climber,1373GC,433Time trial,7598Sprint,5135One day races
Gabriele  Balducci,NaN,NaN,Italy,184Climber,96GC,4Time trial,2240Sprint,1479One day races
Franck  Bonnamour, 1.80 m, 70 kg   ,France,624Climber,339GC,21Time trial,167Sprint,490One day races
Matthew  Busche, 1.74 m, 69 kg   ,United States,420Climber,737GC,166Time trial,123Sprint,189One day races
Bert  Scheirlinckx, 1.84 m, 67 kg   ,Belgium,84Climber,95GC,21Time trial,1018Sprint,1053One day races
Sylvain  Calzati, 1.77 m, 68 kg   ,France,168Climber,495GC,81Time trial,344Sprint,139One day races
Claudio  Cucinotta, 1.77 m, 71 kg   ,Nationality:,16Climber,5GC,50Time trial,340Sprint,127One day races
Bart De Clercq, 1.83 m, 67 kg   ,Belgium,988Climber,1045GC,179Time trial,59Sprint,110One day races
Magnus  Bäckstedt, 1.94 m, 94 kg   ,Sweden,182Climber,627GC,1705Time trial,1858Sprint,1441One day races
Simon  Geschke, 1.71 m, 64 kg   ,Germany,1765Climber,1134GC,546Time trial,697Sprint,1488One day races
Christophe  Masson, 1.81 m, 68 kg   ,France,1Climber,16GC,0Time trial,88Sprint,54One day races
Anton  Mindlin,NaN,NaN,Russia,11Climber,14GC,4Time trial,58Sprint,16One day races
Christian  Vande Velde, 1.80 m, 69 kg   ,United States,1164Climber,2749GC,2138Time trial,466Sprint,358One day races
Marc de Maar, 1.84 m, 70 kg   ,Netherlands,242Climber,838GC,262Time trial,770Sprint,381One day races
Abner  González, 1.74 m, 60 kg   ,Puerto Rico,82Climber,48GC,62Time trial,10Sprint,107One day races
Riccardo  Riccò, 1.74 m, 57 kg   ,Italy,1370Climber,1033GC,259Time trial,934Sprint,985One day races
Marco  Bandiera, 1.74 m, 68 kg   ,Italy,74Climber,165GC,18Time trial,612Sprint,336One day races
Michael  Rogers, 1.85 m, 74 kg   ,Australia,2057Climber,5362GC,5440Time trial,1016Sprint,628One day races
Barnabás  Peák, 1.83 m, 74 kg   ,Hungary,13Climber,42GC,165Time trial,184Sprint,172One day races
Kristijan  Đurasek, 1.70 m, 56 kg   ,Croatia,532Climber,585GC,83Time trial,286Sprint,527One day races
Elmar  Reinders, 1.91 m, 78 kg   ,Netherlands,54Climber,111GC,99Time trial,556Sprint,365One day races
Jonathan  Hivert, 1.70 m, 62 kg   ,France,1102Climber,1499GC,551Time trial,1454Sprint,1744One day races
Matt  Brammeier, 1.81 m, 72 kg   ,Ireland,11Climber,60GC,103Time trial,316Sprint,124One day races
Sébastien  Duret, 1.77 m, 62 kg   ,France,120Climber,183GC,67Time trial,555Sprint,230One day races
Jens  Keukeleire, 1.85 m, 69 kg   ,Belgium,798Climber,1114GC,163Time trial,1596Sprint,1958One day races
Emanuele  Sella, 1.65 m, 54 kg   ,Italy,1724Climber,1572GC,269Time trial,996Sprint,1456One day races
Lars van der Haar, 1.69 m, 58 kg   ,Netherlands,12Climber,51GC,12Time trial,181Sprint,38One day races
Jimmy  Janssens, 1.83 m, 74 kg   ,Belgium,88Climber,265GC,137Time trial,382Sprint,366One day races
Jérôme  Baugnies, 1.81 m, 69 kg   ,Belgium,176Climber,286GC,0Time trial,1502Sprint,1570One day races
Michael  Albasini, 1.72 m, 65 kg   ,Switzerland,2516Climber,2028GC,401Time trial,1986Sprint,2954One day races
Vincenzo  Nibali, 1.81 m, 65 kg   ,Italy,10590Climber,9556GC,3713Time trial,912Sprint,4665One day races
Baptiste  Planckaert, 1.77 m, 65 kg   ,Belgium,340Climber,375GC,9Time trial,3335Sprint,3077One day races
Matej  Mugerli, 1.82 m, 68 kg   ,Slovenia,172Climber,654GC,373Time trial,1934Sprint,791One day races
Andrea  Rossi,NaN,NaN,Italy,1Climber,5GC,22Time trial,17Sprint,5One day races
Andy  Flickinger, 1.93 m, 78 kg   ,France,110Climber,248GC,11Time trial,892Sprint,704One day races
Simone  Consonni, 1.65 m, 60 kg   ,Italy,483Climber,233GC,25Time trial,1271Sprint,1010One day races
Andrea  Guardini, 1.75 m, 66 kg   ,Italy,54Climber,167GC,1Time trial,5312Sprint,241One day races
Alexandre  Moos, 1.74 m, 64 kg   ,Switzerland,871Climber,1306GC,701Time trial,884Sprint,544One day races
Diego  Nosotti,NaN,NaN,Italy,0Climber,16GC,2Time trial,47Sprint,2One day races
Mihkel  Räim, 1.76 m, 69 kg   ,Estonia,72Climber,467GC,154Time trial,1700Sprint,456One day races
Hugo  Hofstetter, 1.70 m, 65 kg   ,France,378Climber,45GC,0Time trial,1876Sprint,2114One day races
Geoffrey  Soupe, 1.77 m, 70 kg   ,France,198Climber,277GC,150Time trial,444Sprint,191One day races
Fabrice  Jeandesboz, 1.79 m, 69 kg   ,France,308Climber,601GC,116Time trial,201Sprint,146One day races
