Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Max van Heeswijk, 1.80 m, 73 kg   ,Netherlands,200Climber,473GC,248Time trial,4230Sprint,2195One day races
Zdeněk  Štybar, 1.83 m, 68 kg   ,Czech Republic,1752Climber,1405GC,195Time trial,1795Sprint,3614One day races
Sylwester  Szmyd, 1.79 m, 60 kg   ,Poland,1146Climber,2352GC,303Time trial,484Sprint,495One day races
Sam  Bewley, 1.90 m, 81 kg   ,New Zealand,2Climber,231GC,315Time trial,77Sprint,30One day races
Iñigo  Elosegui, 1.88 m, 69 kg   ,Spain,2Climber,18GC,4Time trial,0Sprint,30One day races
Johan Le Bon, 1.80 m, 70 kg   ,France,92Climber,688GC,1137Time trial,423Sprint,366One day races
Fabio  Duarte, 1.66 m, 55 kg   ,Colombia,899Climber,676GC,290Time trial,438Sprint,381One day races
Roman  Kreuziger, 1.83 m, 65 kg   ,Czech Republic,5015Climber,5077GC,2174Time trial,492Sprint,2373One day races
Sven  Nevens,NaN,NaN,Belgium,27Climber,6GC,0Time trial,130Sprint,64One day races
Vladimir  Duma, 1.74 m, 64 kg   ,Ukraine,634Climber,328GC,238Time trial,892Sprint,1052One day races
Maxim  Belkov, 1.84 m, 71 kg   ,Russia,153Climber,392GC,313Time trial,162Sprint,99One day races
Joan  Bou,NaN,NaN,Spain,66Climber,74GC,1Time trial,6Sprint,5One day races
Paolo  Savoldelli, 1.80 m, 72 kg   ,Italy,1954Climber,3867GC,3554Time trial,1208Sprint,506One day races
André  Schulze, 1.75 m, 70 kg   ,Germany,34Climber,71GC,130Time trial,2756Sprint,754One day races
Mikaël  Cherel, 1.83 m, 65 kg   ,France,923Climber,1213GC,1Time trial,472Sprint,613One day races
Bartłomiej  Matysiak, 1.84 m, 71 kg   ,Poland,45Climber,232GC,28Time trial,1234Sprint,357One day races
Brian  Kamstra, 1.84 m, 64 kg   ,Netherlands,0Climber,0GC,16Time trial,13Sprint,10One day races
Bartosz  Huzarski, 1.83 m, 69 kg   ,Poland,518Climber,1050GC,540Time trial,723Sprint,224One day races
Edwin  Ávila, 1.67 m, 61 kg   ,Colombia,197Climber,333GC,47Time trial,1186Sprint,177One day races
Bart  Vanheule, 1.86 m, 76 kg   ,Belgium,5Climber,57GC,128Time trial,70Sprint,53One day races
